entity_name,entity_ID,origin_year,origin_period,dev_year,dev_month,cumulative_paid,incremental_paid,premium
State Farm,5,1992,5,3,36,164776,38956,340183
State Farm,5,1992,5,4,48,189045,24269,340183
State Farm,5,1992,5,5,60,204377,15332,340183
State Farm,5,1992,5,6,72,213904,9527,340183
State Farm,5,1992,5,7,84,221659,7755,340183
State Farm,5,1992,5,8,96,228415,6756,340183
State Farm,5,1992,5,9,108,231760,3345,340183
State Farm,5,1992,5,10,120,235831,4071,340183
State Farm,5,1993,6,1,12,46447,46447,418755
State Farm,5,1993,6,2,24,116764,70317,418755
State Farm,5,1993,6,3,36,154897,38133,418755
State Farm,5,1993,6,4,48,179419,24522,418755
State Farm,5,1993,6,5,60,193676,14257,418755
State Farm,5,1993,6,6,72,206073,12397,418755
State Farm,5,1993,6,7,84,212193,6120,418755
State Farm,5,1993,6,8,96,216710,4517,418755
State Farm,5,1993,6,9,108,220900,4190,418755
State Farm,5,1993,6,10,120,224868,3968,418755
State Farm,5,1994,7,1,12,41368,41368,366031
State Farm,5,1994,7,2,24,100344,58976,366031
State Farm,5,1994,7,3,36,132021,31677,366031
State Farm,5,1994,7,4,48,151081,19060,366031
State Farm,5,1994,7,5,60,165667,14586,366031
State Farm,5,1994,7,6,72,173167,7500,366031
State Farm,5,1994,7,7,84,177960,4793,366031
State Farm,5,1994,7,8,96,181932,3972,366031
State Farm,5,1994,7,9,108,185039,3107,366031
State Farm,5,1994,7,10,120,190572,5533,366031
State Farm,5,1995,8,1,12,35719,35719,338186
State Farm,5,1995,8,2,24,83216,47497,338186
State Farm,5,1995,8,3,36,111268,28052,338186
State Farm,5,1995,8,4,48,127221,15953,338186
State Farm,5,1995,8,5,60,136597,9376,338186
State Farm,5,1995,8,6,72,142371,5774,338186
State Farm,5,1995,8,7,84,146359,3988,338186
State Farm,5,1995,8,8,96,148538,2179,338186
State Farm,5,1995,8,9,108,151476,2938,338186
State Farm,5,1995,8,10,120,153299,1823,338186
State Farm,5,1996,9,1,12,28746,28746,286631
State Farm,5,1996,9,2,24,66033,37287,286631
State Farm,5,1996,9,3,36,87748,21715,286631
State Farm,5,1996,9,4,48,100432,12684,286631
State Farm,5,1996,9,5,60,108442,8010,286631
State Farm,5,1996,9,6,72,116297,7855,286631
State Farm,5,1996,9,7,84,119566,3269,286631
State Farm,5,1996,9,8,96,121885,2319,286631
State Farm,5,1996,9,9,108,124377,2492,286631
State Farm,5,1996,9,10,120,126403,2026,286631
State Farm,5,1997,10,1,12,25265,25265,245378
State Farm,5,1997,10,2,24,61872,36607,245378
State Farm,5,1997,10,3,36,81038,19166,245378
State Farm,5,1997,10,4,48,92519,11481,245378
State Farm,5,1997,10,5,60,99006,6487,245378
State Farm,5,1997,10,6,72,103738,4732,245378
State Farm,5,1997,10,7,84,106810,3072,245378
State Farm,5,1997,10,8,96,108329,1519,245378
State Farm,5,1997,10,9,108,110509,2180,245378
State Farm,5,1997,10,10,120,111592,1083,245378
General Accident,6,1988,1,1,12,24030,24030,133298
General Accident,6,1988,1,2,24,53569,29539,133298
General Accident,6,1988,1,3,36,69695,16126,133298
General Accident,6,1988,1,4,48,79813,10118,133298
General Accident,6,1988,1,5,60,87078,7265,133298
General Accident,6,1988,1,6,72,93746,6668,133298
General Accident,6,1988,1,7,84,97481,3735,133298
General Accident,6,1988,1,8,96,99515,2034,133298
General Accident,6,1988,1,9,108,101992,2477,133298
General Accident,6,1988,1,10,120,103047,1055,133298
General Accident,6,1989,2,1,12,25782,25782,162011
General Accident,6,1989,2,2,24,64196,38414,162011
General Accident,6,1989,2,3,36,85089,20893,162011
General Accident,6,1989,2,4,48,101330,16241,162011
General Accident,6,1989,2,5,60,112216,10886,162011
General Accident,6,1989,2,6,72,118928,6712,162011
General Accident,6,1989,2,7,84,122574,3646,162011
General Accident,6,1989,2,8,96,125884,3310,162011
General Accident,6,1989,2,9,108,127901,2017,162011
General Accident,6,1990,3,1,12,34086,34086,214332
General Accident,6,1990,3,2,24,82242,48156,214332
General Accident,6,1990,3,3,36,111416,29174,214332
General Accident,6,1990,3,4,48,130176,18760,214332
General Accident,6,1990,3,5,60,142245,12069,214332
General Accident,6,1990,3,6,72,149267,7022,214332
General Accident,6,1990,3,7,84,155502,6235,214332
General Accident,6,1990,3,8,96,158300,2798,214332
General Accident,6,1991,4,1,12,36176,36176,236351
General Accident,6,1991,4,2,24,91837,55661,236351
General Accident,6,1991,4,3,36,122182,30345,236351
General Accident,6,1991,4,4,48,142440,20258,236351
General Accident,6,1991,4,5,60,155419,12979,236351
General Accident,6,1991,4,6,72,164524,9105,236351
General Accident,6,1991,4,7,84,169534,5010,236351
General Accident,6,1992,5,1,12,40800,40800,268524
General Accident,6,1992,5,2,24,101555,60755,268524
General Accident,6,1992,5,3,36,131473,29918,268524
General Accident,6,1992,5,4,48,150580,19107,268524
General Accident,6,1992,5,5,60,163028,12448,268524
General Accident,6,1992,5,6,72,171453,8425,268524
General Accident,6,1993,6,1,12,43742,43742,295947
General Accident,6,1993,6,2,24,98648,54906,295947
General Accident,6,1993,6,3,36,125624,26976,295947
General Accident,6,1993,6,4,48,142872,17248,295947
General Accident,6,1993,6,5,60,153626,10754,295947
General Accident,6,1994,7,1,12,42018,42018,319120
General Accident,6,1994,7,2,24,91986,49968,319120
General Accident,6,1994,7,3,36,118959,26973,319120
General Accident,6,1994,7,4,48,134581,15622,319120
General Accident,6,1995,8,1,12,41740,41740,304341
General Accident,6,1995,8,2,24,87678,45938,304341
General Accident,6,1995,8,3,36,112076,24398,304341
General Accident,6,1996,9,1,12,42876,42876,315676
General Accident,6,1996,9,2,24,93394,50518,315676
General Accident,6,1997,10,1,12,46990,46990,300038
Hanover,7,1988,1,1,12,32697,32697,177558
Hanover,7,1988,1,2,24,73042,40345,177558
Hanover,7,1988,1,3,36,95214,22172,177558
Hanover,7,1988,1,4,48,110889,15675,177558
Hanover,7,1988,1,5,60,121333,10444,177558
Hanover,7,1988,1,6,72,127597,6264,177558
Hanover,7,1988,1,7,84,131657,4060,177558
Hanover,7,1988,1,8,96,134010,2353,177558
Hanover,7,1988,1,9,108,136363,2353,177558
Hanover,7,1988,1,10,120,138183,1820,177558
Hanover,7,1989,2,1,12,33033,33033,188230
Hanover,7,1989,2,2,24,76680,43647,188230
Hanover,7,1989,2,3,36,103770,27090,188230
Hanover,7,1989,2,4,48,120801,17031,188230
Hanover,7,1989,2,5,60,130788,9987,188230
Hanover,7,1989,2,6,72,136451,5663,188230
Hanover,7,1989,2,7,84,141224,4773,188230
Hanover,7,1989,2,8,96,144542,3318,188230
Hanover,7,1989,2,9,108,146877,2335,188230
Hanover,7,1990,3,1,12,36401,36401,212815
Hanover,7,1990,3,2,24,85669,49268,212815
Hanover,7,1990,3,3,36,114891,29222,212815
Hanover,7,1990,3,4,48,131947,17056,212815
Hanover,7,1990,3,5,60,142859,10912,212815
Hanover,7,1990,3,6,72,150427,7568,212815
Hanover,7,1990,3,7,84,154656,4229,212815
Hanover,7,1990,3,8,96,157732,3076,212815
Hanover,7,1991,4,1,12,35510,35510,229231
Hanover,7,1991,4,2,24,82134,46624,229231
Hanover,7,1991,4,3,36,107657,25523,229231
Hanover,7,1991,4,4,48,122797,15140,229231
Hanover,7,1991,4,5,60,132656,9859,229231
Hanover,7,1991,4,6,72,137941,5285,229231
Hanover,7,1991,4,7,84,142000,4059,229231
Hanover,7,1992,5,1,12,32891,32891,222470
Hanover,7,1992,5,2,24,71563,38672,222470
Hanover,7,1992,5,3,36,94223,22660,222470
Hanover,7,1992,5,4,48,108944,14721,222470
Hanover,7,1992,5,5,60,116977,8033,222470
Hanover,7,1992,5,6,72,122608,5631,222470
Hanover,7,1993,6,1,12,31695,31695,232822
Hanover,7,1993,6,2,24,68654,36959,232822
Hanover,7,1993,6,3,36,90780,22126,232822
Hanover,7,1993,6,4,48,103404,12624,232822
Hanover,7,1993,6,5,60,110909,7505,232822
Hanover,7,1994,7,1,12,32081,32081,248622
Hanover,7,1994,7,2,24,69670,37589,248622
Hanover,7,1994,7,3,36,89974,20304,248622
Hanover,7,1994,7,4,48,102148,12174,248622
Hanover,7,1995,8,1,12,30195,30195,250458
Hanover,7,1995,8,2,24,66146,35951,250458
Hanover,7,1995,8,3,36,85270,19124,250458
Hanover,7,1996,9,1,12,33158,33158,229829
Hanover,7,1996,9,2,24,68538,35380,229829
Hanover,7,1997,10,1,12,31110,31110,197134
Ohio Cas,8,1988,1,1,12,27121,27121,175397
Ohio Cas,8,1988,1,2,24,62287,35166,175397
Ohio Cas,8,1988,1,3,36,81858,19571,175397
Ohio Cas,8,1988,1,4,48,94613,12755,175397
Ohio Cas,8,1988,1,5,60,103077,8464,175397
Ohio Cas,8,1988,1,6,72,108368,5291,175397
Ohio Cas,8,1988,1,7,84,111556,3188,175397
Ohio Cas,8,1988,1,8,96,114403,2847,175397
Ohio Cas,8,1988,1,9,108,116197,1794,175397
Ohio Cas,8,1988,1,10,120,117770,1573,175397
Ohio Cas,8,1989,2,1,12,28617,28617,197654
Ohio Cas,8,1989,2,2,24,70036,41419,197654
Ohio Cas,8,1989,2,3,36,95690,25654,197654
Ohio Cas,8,1989,2,4,48,112289,16599,197654
Ohio Cas,8,1989,2,5,60,122683,10394,197654
Ohio Cas,8,1989,2,6,72,129817,7134,197654
Ohio Cas,8,1989,2,7,84,134845,5028,197654
Ohio Cas,8,1989,2,8,96,138952,4107,197654
Ohio Cas,8,1989,2,9,108,141753,2801,197654
Ohio Cas,8,1989,2,10,120,144224,2471,197654
Ohio Cas,8,1990,3,1,12,36656,36656,216704
Ohio Cas,8,1990,3,2,24,86142,49486,216704
Ohio Cas,8,1990,3,3,36,116738,30596,216704
Ohio Cas,8,1990,3,4,48,136198,19460,216704
Ohio Cas,8,1990,3,5,60,147594,11396,216704
Ohio Cas,8,1990,3,6,72,154820,7226,216704
Ohio Cas,8,1990,3,7,84,159527,4707,216704
Ohio Cas,8,1990,3,8,96,162870,3343,216704
Ohio Cas,8,1990,3,9,108,165924,3054,216704
Ohio Cas,8,1990,3,10,120,168702,2778,216704
Ohio Cas,8,1991,4,1,12,34402,34402,215966
Ohio Cas,8,1991,4,2,24,81729,47327,215966
Ohio Cas,8,1991,4,3,36,110830,29101,215966
Ohio Cas,8,1991,4,4,48,128787,17957,215966
Ohio Cas,8,1991,4,5,60,140367,11580,215966
Ohio Cas,8,1991,4,6,72,146612,6245,215966
Ohio Cas,8,1991,4,7,84,150331,3719,215966
Ohio Cas,8,1991,4,8,96,153559,3228,215966
Ohio Cas,8,1991,4,9,108,156491,2932,215966
Ohio Cas,8,1991,4,10,120,158416,1925,215966
Ohio Cas,8,1992,5,1,12,31952,31952,210668
Ohio Cas,8,1992,5,2,24,75134,43182,210668
Ohio Cas,8,1992,5,3,36,98613,23479,210668
Ohio Cas,8,1992,5,4,48,113756,15143,210668
Ohio Cas,8,1992,5,5,60,121823,8067,210668
Ohio Cas,8,1992,5,6,72,126878,5055,210668
Ohio Cas,8,1992,5,7,84,128655,1777,210668
Ohio Cas,8,1992,5,8,96,133206,4551,210668
Ohio Cas,8,1992,5,9,108,135383,2177,210668
Ohio Cas,8,1992,5,10,120,137317,1934,210668
Ohio Cas,8,1993,6,1,12,26056,26056,183295
Ohio Cas,8,1993,6,2,24,58248,32192,183295
Ohio Cas,8,1993,6,3,36,75894,17646,183295
Ohio Cas,8,1993,6,4,48,86212,10318,183295
Ohio Cas,8,1993,6,5,60,93328,7116,183295
Ohio Cas,8,1993,6,6,72,96320,2992,183295
Ohio Cas,8,1993,6,7,84,101400,5080,183295
Ohio Cas,8,1993,6,8,96,103559,2159,183295
Ohio Cas,8,1993,6,9,108,104913,1354,183295
Ohio Cas,8,1993,6,10,120,105928,1015,183295
Ohio Cas,8,1994,7,1,12,17115,17115,151257
Ohio Cas,8,1994,7,2,24,41040,23925,151257
Ohio Cas,8,1994,7,3,36,54715,13675,151257
Ohio Cas,8,1994,7,4,48,62589,7874,151257
Ohio Cas,8,1994,7,5,60,66680,4091,151257
Ohio Cas,8,1994,7,6,72,71712,5032,151257
Ohio Cas,8,1994,7,7,84,73336,1624,151257
Ohio Cas,8,1994,7,8,96,74597,1261,151257
Ohio Cas,8,1994,7,9,108,75780,1183,151257
Ohio Cas,8,1994,7,10,120,77230,1450,151257
Ohio Cas,8,1995,8,1,12,17157,17157,142004
Ohio Cas,8,1995,8,2,24,38677,21520,142004
Ohio Cas,8,1995,8,3,36,50609,11932,142004
Ohio Cas,8,1995,8,4,48,57638,7029,142004
Ohio Cas,8,1995,8,5,60,62815,5177,142004
Ohio Cas,8,1995,8,6,72,65694,2879,142004
Ohio Cas,8,1995,8,7,84,67447,1753,142004
Ohio Cas,8,1995,8,8,96,68578,1131,142004
Ohio Cas,8,1995,8,9,108,69707,1129,142004
Ohio Cas,8,1995,8,10,120,70464,757,142004
Ohio Cas,8,1996,9,1,12,15365,15365,124158
Ohio Cas,8,1996,9,2,24,34297,18932,124158
Ohio Cas,8,1996,9,3,36,44218,9921,124158
Ohio Cas,8,1996,9,4,48,50688,6470,124158
Ohio Cas,8,1996,9,5,60,53853,3165,124158
Ohio Cas,8,1996,9,6,72,56539,2686,124158
Ohio Cas,8,1996,9,7,84,57549,1010,124158
Ohio Cas,8,1996,9,8,96,58415,866,124158
Ohio Cas,8,1996,9,9,108,59301,886,124158
Ohio Cas,8,1996,9,10,120,60240,939,124158
Ohio Cas,8,1997,10,1,12,14882,14882,103484
Ohio Cas,8,1997,10,2,24,34239,19357,103484
Ohio Cas,8,1997,10,3,36,43712,9473,103484
Ohio Cas,8,1997,10,4,48,48723,5011,103484
Ohio Cas,8,1997,10,5,60,52402,3679,103484
Ohio Cas,8,1997,10,6,72,54203,1801,103484
Ohio Cas,8,1997,10,7,84,55778,1575,103484
Ohio Cas,8,1997,10,8,96,57216,1438,103484
Ohio Cas,8,1997,10,9,108,58847,1631,103484
Ohio Cas,8,1997,10,10,120,59786,939,103484
Amerisure,9,1988,1,1,12,21693,21693,127719
Amerisure,9,1988,1,2,24,52213,30520,127719
Amerisure,9,1988,1,3,36,70994,18781,127719
Amerisure,9,1988,1,4,48,83654,12660,127719
Amerisure,9,1988,1,5,60,92293,8639,127719
Amerisure,9,1988,1,6,72,98747,6454,127719
Amerisure,9,1988,1,7,84,102266,3519,127719
Amerisure,9,1988,1,8,96,104646,2380,127719
Amerisure,9,1988,1,9,108,106539,1893,127719
Amerisure,9,1988,1,10,120,107776,1237,127719
Amerisure,9,1989,2,1,12,26716,26716,132817
Amerisure,9,1989,2,2,24,68580,41864,132817
Amerisure,9,1989,2,3,36,91920,23340,132817
Amerisure,9,1989,2,4,48,106300,14380,132817
Amerisure,9,1989,2,5,60,116176,9876,132817
Amerisure,9,1989,2,6,72,121724,5548,132817
Amerisure,9,1989,2,7,84,124663,2939,132817
Amerisure,9,1989,2,8,96,127688,3025,132817
Amerisure,9,1989,2,9,108,129512,1824,132817
Amerisure,9,1990,3,1,12,22684,22684,133869
Amerisure,9,1990,3,2,24,62907,40223,133869
Amerisure,9,1990,3,3,36,88252,25345,133869
Amerisure,9,1990,3,4,48,101230,12978,133869
Amerisure,9,1990,3,5,60,108017,6787,133869
Amerisure,9,1990,3,6,72,112597,4580,133869
Amerisure,9,1990,3,7,84,116760,4163,133869
Amerisure,9,1990,3,8,96,118971,2211,133869
Amerisure,9,1991,4,1,12,23214,23214,101838
Amerisure,9,1991,4,2,24,53840,30626,101838
Amerisure,9,1991,4,3,36,72285,18445,101838
Amerisure,9,1991,4,4,48,82011,9726,101838
Amerisure,9,1991,4,5,60,88538,6527,101838
Amerisure,9,1991,4,6,72,91542,3004,101838
Amerisure,9,1991,4,7,84,93979,2437,101838
Amerisure,9,1992,5,1,12,26212,26212,149351
Amerisure,9,1992,5,2,24,56073,29861,149351
Amerisure,9,1992,5,3,36,71960,15887,149351
Amerisure,9,1992,5,4,48,81782,9822,149351
Amerisure,9,1992,5,5,60,88173,6391,149351
Amerisure,9,1992,5,6,72,91129,2956,149351
Amerisure,9,1993,6,1,12,23203,23203,154187
Amerisure,9,1993,6,2,24,46016,22813,154187
Amerisure,9,1993,6,3,36,60734,14718,154187
Amerisure,9,1993,6,4,48,69789,9055,154187
Amerisure,9,1993,6,5,60,74959,5170,154187
Amerisure,9,1994,7,1,12,24220,24220,142056
Amerisure,9,1994,7,2,24,49963,25743,142056
Amerisure,9,1994,7,3,36,63831,13868,142056
Amerisure,9,1994,7,4,48,71750,7919,142056
Amerisure,9,1995,8,1,12,21225,21225,153783
Amerisure,9,1995,8,2,24,47348,26123,153783
Amerisure,9,1995,8,3,36,59136,11788,153783
Amerisure,9,1996,9,1,12,22634,22634,132926
Amerisure,9,1996,9,2,24,47797,25163,132926
Amerisure,9,1997,10,1,12,25822,25822,131178
Selective,10,1988,1,1,12,13645,13645,73352
Selective,10,1988,1,2,24,28622,14977,73352
Selective,10,1988,1,3,36,36147,7525,73352
Selective,10,1988,1,4,48,41540,5393,73352
Selective,10,1988,1,5,60,45267,3727,73352
Selective,10,1988,1,6,72,48043,2776,73352
Selective,10,1988,1,7,84,49890,1847,73352
Selective,10,1988,1,8,96,50998,1108,73352
Selective,10,1988,1,9,108,52529,1531,73352
Selective,10,1988,1,10,120,52949,420,73352
Selective,10,1989,2,1,12,14137,14137,86408
Selective,10,1989,2,2,24,29635,15498,86408
Selective,10,1989,2,3,36,37658,8023,86408
Selective,10,1989,2,4,48,43003,5345,86408
Selective,10,1989,2,5,60,46394,3391,86408
Selective,10,1989,2,6,72,48163,1769,86408
Selective,10,1989,2,7,84,49689,1526,86408
Selective,10,1989,2,8,96,50819,1130,86408
Selective,10,1989,2,9,108,51548,729,86408
Selective,10,1990,3,1,12,16213,16213,93119
Selective,10,1990,3,2,24,33426,17213,93119
Selective,10,1990,3,3,36,43097,9671,93119
Selective,10,1990,3,4,48,51325,8228,93119
Selective,10,1990,3,5,60,55306,3981,93119
Selective,10,1990,3,6,72,58160,2854,93119
Selective,10,1990,3,7,84,60563,2403,93119
Selective,10,1990,3,8,96,62945,2382,93119
Selective,10,1991,4,1,12,17328,17328,98045
Selective,10,1991,4,2,24,38181,20853,98045
Selective,10,1991,4,3,36,48922,10741,98045
Selective,10,1991,4,4,48,56334,7412,98045
Selective,10,1991,4,5,60,61295,4961,98045
Selective,10,1991,4,6,72,64243,2948,98045
Selective,10,1991,4,7,84,66572,2329,98045
Selective,10,1992,5,1,12,20310,20310,115201
Selective,10,1992,5,2,24,45481,25171,115201
Selective,10,1992,5,3,36,57626,12145,115201
Selective,10,1992,5,4,48,66110,8484,115201
Selective,10,1992,5,5,60,70874,4764,115201
Selective,10,1992,5,6,72,74466,3592,115201
Selective,10,1993,6,1,12,21859,21859,138320
Selective,10,1993,6,2,24,47732,25873,138320
Selective,10,1993,6,3,36,62102,14370,138320
Selective,10,1993,6,4,48,72676,10574,138320
Selective,10,1993,6,5,60,77873,5197,138320
Selective,10,1994,7,1,12,26615,26615,171563
Selective,10,1994,7,2,24,57381,30766,171563
Selective,10,1994,7,3,36,75442,18061,171563
Selective,10,1994,7,4,48,85745,10303,171563
Selective,10,1995,8,1,12,24151,24151,186004
Selective,10,1995,8,2,24,50813,26662,186004
Selective,10,1995,8,3,36,67022,16209,186004
Selective,10,1996,9,1,12,21054,21054,153812
Selective,10,1996,9,2,24,42300,21246,153812
Selective,10,1997,10,1,12,20118,20118,129680